track_id,attributeA,attributeB,attributeC
293,A1,B5,C3
294,A4,B3,C3
295,A4,B5,C4
296,A1,B1,C2
297,A1,B2,C4
298,A1,B5,C2
299,A2,B4,C5
300,A4,B1,C1
301,A4,B3,C2
302,A4,B1,C5
303,A2,B5,C2
304,A4,B5,C1
305,A4,B4,C4
306,A1,B3,C2
307,A5,B2,C4
308,A2,B5,C4
309,A4,B1,C4
310,A2,B4,C4
311,A1,B4,C1
312,A4,B4,C3
313,A5,B4,C1
314,A1,B1,C1
315,A2,B3,C5
316,A3,B2,C1
317,A4,B3,C4
318,A1,B1,C1
319,A4,B1,C2
320,A2,B1,C4
321,A1,B1,C1
322,A3,B4,C2
323,A1,B5,C4
324,A1,B5,C5
325,A5,B2,C3
326,A2,B1,C4
327,A4,B3,C3
328,A3,B3,C5
329,A2,B1,C5
330,A5,B4,C5
331,A4,B5,C2
332,A5,B4,C1
333,A4,B4,C1
334,A3,B4,C1
335,A4,B5,C2
336,A4,B1,C3
337,A4,B2,C3
338,A5,B1,C2
339,A4,B4,C2
340,A4,B2,C1
341,A3,B4,C1
342,A3,B1,C4
343,A2,B1,C5
344,A5,B4,C4
345,A1,B4,C2
346,A2,B5,C5
347,A3,B1,C5
348,A2,B3,C3
349,A1,B1,C4
350,A1,B2,C4
351,A2,B3,C1
352,A3,B3,C5
353,A3,B4,C5
354,A4,B4,C2
355,A4,B4,C1
356,A4,B1,C1
357,A3,B3,C2
358,A1,B4,C3
359,A3,B1,C3
360,A4,B4,C1
361,A3,B5,C3
362,A5,B2,C5
363,A1,B1,C2
364,A3,B5,C3
365,A3,B2,C5
366,A4,B5,C1
367,A1,B2,C4
368,A2,B3,C3
369,A3,B1,C5
370,A5,B4,C1
371,A1,B5,C3
372,A4,B2,C4
373,A1,B4,C3
374,A2,B4,C2
375,A4,B3,C4
376,A4,B1,C1
377,A4,B3,C2
378,A1,B1,C2
379,A3,B3,C2
380,A1,B3,C4
381,A4,B1,C3
382,A1,B4,C3
383,A1,B2,C3
384,A5,B4,C5
385,A2,B1,C3
386,A4,B2,C3
387,A4,B1,C5
388,A4,B2,C1
389,A1,B1,C3
390,A3,B1,C5
391,A1,B3,C3
392,A4,B3,C2
393,A5,B4,C3
394,A1,B1,C3
395,A3,B2,C4
396,A5,B2,C2
397,A4,B3,C3
398,A5,B4,C5
399,A2,B3,C3
400,A2,B3,C5
401,A5,B3,C3
402,A5,B3,C4
403,A2,B2,C4
404,A4,B5,C3
405,A2,B3,C2
406,A5,B5,C5
407,A4,B3,C1
408,A5,B5,C1
409,A3,B1,C1
410,A4,B5,C1
411,A3,B1,C4
412,A4,B3,C4
413,A4,B3,C2
414,A4,B5,C2
415,A4,B5,C2
416,A2,B5,C4
417,A1,B5,C3
418,A5,B1,C2
419,A4,B3,C5
420,A2,B1,C5
421,A4,B4,C2
422,A2,B2,C5
423,A5,B4,C2
424,A1,B4,C1
425,A4,B2,C1
426,A5,B5,C5
427,A1,B3,C3
428,A1,B2,C1
429,A4,B4,C5
430,A1,B5,C4
431,A3,B2,C1
432,A5,B5,C5
433,A3,B4,C4
434,A2,B4,C1
435,A3,B3,C1
436,A1,B1,C3
437,A5,B3,C5
438,A4,B1,C4
439,A3,B2,C3
440,A5,B2,C3
441,A1,B1,C1
442,A2,B4,C2
443,A3,B3,C1
444,A3,B2,C5
445,A1,B5,C2
446,A4,B4,C3
447,A3,B4,C4
448,A3,B4,C1
449,A1,B2,C2
450,A5,B3,C2
451,A4,B2,C3
452,A5,B3,C5
453,A5,B1,C2
454,A2,B1,C5
455,A3,B3,C2
456,A1,B3,C4
457,A5,B5,C5
458,A3,B2,C3
459,A5,B1,C5
460,A4,B3,C4
461,A3,B5,C3
462,A1,B5,C4
463,A4,B4,C2
464,A2,B1,C2
465,A5,B2,C4
466,A4,B5,C1
467,A3,B2,C3
468,A3,B5,C5
469,A4,B1,C3
470,A2,B3,C2
471,A5,B4,C5
472,A5,B1,C3
473,A3,B5,C1
474,A5,B4,C5
475,A4,B3,C1
476,A3,B2,C2
477,A5,B4,C3
478,A1,B4,C4
479,A5,B5,C2
480,A2,B4,C2
481,A5,B5,C5
482,A1,B5,C2
483,A5,B4,C1
484,A5,B5,C5
485,A3,B4,C1
486,A5,B2,C5
487,A5,B5,C2
488,A4,B5,C5
489,A2,B5,C1
490,A3,B3,C5
491,A3,B3,C4
492,A2,B1,C4
493,A3,B2,C3
494,A2,B5,C3
495,A1,B5,C4
496,A3,B2,C3
497,A3,B1,C4
498,A2,B3,C3
499,A3,B2,C4
500,A1,B3,C1
501,A4,B1,C5
502,A5,B5,C4
503,A1,B2,C1
504,A1,B3,C3
505,A5,B3,C1
506,A4,B3,C2
507,A3,B3,C5
508,A5,B5,C4
509,A4,B2,C3
510,A5,B5,C2
511,A5,B5,C3
512,A2,B4,C2
513,A2,B4,C5
514,A4,B4,C3
515,A2,B4,C5
516,A2,B2,C2
517,A5,B3,C3
518,A4,B5,C1
519,A2,B1,C4
520,A1,B2,C1
521,A2,B4,C3
522,A3,B4,C4
523,A4,B1,C1
524,A5,B1,C5
525,A2,B4,C1
526,A4,B2,C3
527,A3,B3,C2
528,A4,B2,C1
529,A4,B3,C3
530,A2,B1,C4
531,A2,B5,C2
532,A3,B2,C4
533,A5,B2,C4
534,A5,B1,C3
535,A5,B3,C5
536,A3,B3,C3
537,A2,B5,C5
538,A2,B4,C5
539,A2,B4,C5
540,A5,B5,C2
541,A5,B3,C3
542,A5,B4,C3
543,A5,B4,C2
544,A4,B3,C3
545,A1,B4,C1
546,A2,B5,C1
547,A4,B5,C5
548,A5,B4,C3
549,A4,B4,C5
550,A2,B2,C5
551,A1,B3,C5
552,A3,B5,C2
553,A2,B5,C5
554,A1,B1,C2
555,A4,B3,C2
556,A3,B3,C3
557,A2,B5,C1
558,A5,B5,C4
559,A3,B5,C3
560,A1,B4,C2
561,A5,B5,C4
562,A3,B2,C4
563,A2,B1,C1
564,A3,B5,C5
565,A5,B1,C3
566,A2,B2,C4
567,A5,B2,C1
568,A5,B4,C4
569,A4,B1,C1
570,A2,B2,C4
571,A3,B4,C4
572,A4,B3,C4
573,A2,B2,C5
574,A3,B1,C2
575,A2,B5,C4
576,A3,B1,C3
577,A4,B1,C3
578,A2,B2,C2
579,A2,B1,C1
580,A3,B1,C1
581,A1,B3,C5
582,A3,B3,C3
583,A3,B1,C3
584,A1,B3,C1
585,A5,B5,C1
586,A4,B5,C2
587,A4,B4,C5
588,A1,B5,C2
589,A1,B4,C4
590,A4,B1,C1
591,A3,B3,C1
592,A5,B3,C5
593,A2,B4,C4
594,A1,B1,C3
595,A2,B5,C4
596,A2,B5,C3
597,A1,B1,C4
598,A4,B4,C5
599,A4,B1,C2
600,A2,B2,C1
601,A5,B3,C1
602,A2,B5,C5
603,A2,B5,C3
604,A1,B4,C2
605,A3,B3,C1
606,A2,B5,C1
607,A3,B2,C1
608,A5,B1,C1
609,A1,B2,C3
610,A1,B3,C2
611,A3,B1,C4
612,A4,B3,C4
613,A2,B2,C1
614,A3,B3,C4
615,A4,B5,C5
616,A3,B2,C5
617,A1,B5,C5
618,A5,B2,C5
619,A3,B1,C5
620,A4,B4,C5
621,A3,B3,C5
622,A4,B1,C5
623,A5,B1,C5
624,A3,B1,C2
625,A1,B2,C1
626,A1,B3,C4
627,A3,B1,C2
628,A4,B1,C1
629,A5,B5,C2
630,A4,B1,C2
631,A5,B1,C5
632,A5,B3,C5
633,A4,B5,C1
634,A2,B3,C1
635,A2,B3,C1
636,A2,B3,C3
637,A1,B1,C3
638,A5,B4,C4
639,A2,B4,C5
640,A4,B5,C2
641,A3,B2,C3
642,A2,B5,C4
643,A2,B2,C2
644,A3,B2,C2
645,A4,B5,C1
646,A5,B1,C1
647,A2,B4,C5
648,A3,B4,C1
649,A3,B1,C1
650,A3,B5,C4
651,A5,B4,C4
652,A3,B1,C5
653,A3,B2,C2
654,A3,B3,C5
655,A1,B2,C2
656,A5,B1,C2
657,A1,B3,C5
658,A3,B2,C5
659,A2,B2,C3
660,A1,B4,C5
661,A2,B4,C4
662,A3,B3,C4
663,A3,B1,C2
664,A2,B5,C5
665,A4,B3,C5
666,A3,B3,C3
667,A5,B5,C1
668,A5,B5,C5
669,A2,B3,C5
670,A5,B4,C1
671,A1,B5,C1
672,A3,B1,C3
673,A2,B5,C4
674,A3,B3,C2
675,A3,B4,C3
676,A2,B2,C2
677,A3,B1,C5
678,A5,B4,C1
679,A4,B1,C5
680,A1,B5,C5
681,A4,B5,C3
682,A2,B5,C1
683,A3,B4,C4
684,A1,B2,C1
685,A4,B2,C5
686,A4,B5,C1
687,A4,B1,C1
688,A5,B5,C1
689,A5,B3,C3
690,A2,B3,C2
691,A3,B2,C1
692,A2,B1,C3
693,A2,B2,C4
694,A1,B4,C4
695,A1,B3,C2
696,A4,B3,C1
697,A4,B2,C1
698,A5,B2,C1
699,A2,B4,C2
700,A5,B5,C3
701,A1,B1,C5
702,A2,B2,C3
703,A2,B4,C1
704,A1,B5,C4
705,A4,B2,C5
706,A5,B5,C5
707,A4,B3,C4
708,A4,B1,C1
709,A2,B2,C1
710,A2,B2,C2
711,A2,B2,C5
712,A3,B3,C5
713,A1,B4,C3
714,A3,B4,C1
715,A1,B2,C4
716,A2,B4,C3
717,A4,B2,C5
718,A4,B2,C5
719,A3,B2,C4
720,A2,B1,C5
721,A1,B5,C5
722,A1,B5,C2
723,A3,B1,C2
724,A3,B1,C1
725,A2,B1,C1
726,A5,B3,C4
727,A3,B3,C4
728,A1,B3,C5
729,A1,B1,C5
730,A2,B4,C3
731,A4,B4,C1
732,A2,B1,C1
733,A3,B3,C1
734,A1,B5,C5
735,A2,B1,C4
736,A3,B5,C1
737,A2,B2,C2
738,A1,B4,C2
739,A5,B5,C5
740,A1,B5,C4
741,A1,B2,C5
742,A5,B4,C4
743,A4,B4,C5
744,A4,B3,C5
745,A1,B3,C5
746,A5,B2,C3
747,A4,B1,C3
748,A5,B5,C1
749,A1,B1,C2
750,A3,B5,C3
751,A1,B3,C5
752,A2,B3,C3
753,A1,B5,C4
754,A1,B4,C2
755,A1,B2,C1
756,A4,B3,C1
757,A5,B2,C2
758,A4,B4,C1
759,A4,B4,C2
760,A4,B1,C2
761,A3,B4,C2
762,A2,B2,C4
763,A2,B3,C5
764,A1,B2,C5
765,A2,B2,C2
766,A5,B5,C5
767,A5,B5,C5
768,A3,B5,C1
769,A1,B2,C5
770,A2,B5,C2
771,A1,B2,C1
772,A3,B3,C2
773,A4,B4,C4
774,A5,B3,C2
775,A3,B4,C2
776,A2,B5,C2
777,A3,B2,C2
778,A2,B4,C2
779,A2,B5,C5
780,A4,B1,C2
781,A5,B3,C5
782,A4,B2,C5
783,A3,B5,C5
784,A4,B2,C1
785,A4,B3,C5
786,A5,B1,C4
787,A5,B5,C5
788,A3,B5,C5
789,A3,B5,C3
790,A5,B2,C5
791,A2,B5,C1
792,A1,B4,C3
793,A3,B1,C2
794,A4,B1,C5
795,A1,B5,C3
796,A4,B3,C3
797,A4,B1,C4
798,A1,B5,C3
799,A1,B2,C2
800,A1,B5,C4
801,A5,B2,C2
802,A1,B5,C2
803,A1,B1,C2
804,A3,B1,C1
805,A3,B4,C2
806,A2,B2,C2
807,A5,B5,C4
808,A5,B5,C5
809,A3,B3,C4
810,A5,B4,C5
811,A1,B4,C2
812,A3,B1,C5
813,A5,B2,C3
814,A2,B2,C5
815,A2,B3,C1
816,A1,B4,C1
817,A3,B2,C4
818,A1,B3,C4
819,A2,B3,C4
820,A3,B1,C5
821,A3,B4,C5
822,A4,B4,C1
823,A2,B5,C2
824,A3,B2,C5
825,A3,B5,C3
826,A2,B2,C5
827,A2,B4,C2
828,A3,B1,C1
829,A2,B5,C5
830,A4,B1,C5
831,A5,B3,C1
832,A4,B4,C3
833,A4,B5,C2
834,A5,B2,C5
835,A2,B4,C2
836,A4,B2,C1
837,A4,B1,C1
838,A4,B2,C1
839,A2,B5,C5
840,A5,B5,C1
841,A1,B5,C3
842,A1,B5,C5
843,A1,B2,C2
844,A1,B5,C5
845,A2,B5,C2
846,A3,B4,C5
847,A4,B3,C4
848,A1,B3,C1
849,A2,B4,C2
850,A2,B3,C1
851,A5,B5,C3
852,A4,B4,C2
853,A5,B4,C2
854,A2,B2,C4
855,A5,B1,C3
856,A5,B3,C5
857,A1,B3,C1
858,A3,B5,C2
859,A2,B5,C3
860,A2,B4,C5
861,A2,B5,C4
862,A4,B2,C5
863,A1,B5,C4
864,A2,B5,C3
865,A5,B1,C4
866,A2,B1,C1
867,A4,B5,C1
868,A4,B4,C2
869,A5,B3,C2
870,A5,B1,C5
871,A4,B3,C5
872,A3,B2,C5
873,A1,B3,C4
874,A1,B1,C5
875,A2,B4,C1
876,A5,B4,C3
877,A3,B3,C4
878,A3,B2,C5
879,A1,B4,C1
880,A5,B1,C5
881,A5,B3,C3
882,A3,B1,C1
883,A3,B2,C2
884,A5,B1,C5
885,A4,B3,C1
886,A3,B4,C5
887,A4,B1,C5
888,A5,B4,C3
889,A4,B2,C2
890,A3,B2,C4
891,A5,B2,C3
892,A3,B2,C3
893,A3,B4,C2
894,A5,B1,C3
895,A2,B5,C4
896,A5,B1,C1
897,A4,B2,C3
898,A1,B4,C2
899,A3,B5,C2
900,A5,B3,C3
901,A3,B3,C4
902,A3,B1,C1
903,A2,B1,C3
904,A5,B4,C1
905,A2,B2,C2
906,A1,B4,C1
907,A3,B2,C4
908,A2,B4,C5
909,A2,B4,C3
910,A1,B3,C2
911,A4,B3,C5
912,A3,B3,C5
913,A5,B3,C4
914,A2,B4,C5
915,A3,B1,C1
916,A5,B2,C4
917,A2,B1,C1
918,A1,B3,C4
919,A3,B3,C2
920,A1,B2,C4
921,A4,B5,C4
922,A5,B5,C1
923,A3,B4,C1
924,A5,B2,C2
925,A4,B4,C3
926,A1,B2,C2
927,A5,B5,C3
928,A5,B3,C1
929,A4,B5,C4
930,A5,B1,C5
931,A4,B1,C4
932,A5,B2,C4
933,A5,B4,C1
934,A2,B3,C1
935,A4,B5,C3
936,A2,B5,C3
937,A2,B4,C1
938,A3,B3,C4
939,A4,B4,C4
940,A2,B5,C2
941,A5,B3,C2
942,A1,B1,C5
943,A5,B5,C4
944,A5,B3,C3
945,A4,B2,C3
946,A2,B3,C2
947,A4,B1,C2
948,A3,B2,C1
949,A2,B3,C4
950,A2,B4,C1
951,A5,B1,C5
952,A2,B5,C3
953,A5,B3,C4
954,A4,B4,C5
955,A5,B4,C2
956,A5,B3,C5
957,A4,B3,C4
958,A1,B4,C5
959,A5,B4,C4
960,A4,B1,C1
961,A5,B2,C5
962,A3,B2,C2
963,A3,B2,C5
964,A1,B1,C3
965,A5,B4,C4
966,A3,B5,C2
967,A2,B3,C5
968,A2,B2,C4
969,A2,B4,C2
970,A3,B2,C5
971,A1,B5,C3
972,A1,B2,C4
973,A3,B4,C5
974,A2,B1,C3
975,A2,B4,C1
976,A5,B5,C4
977,A1,B2,C2
978,A5,B4,C5
979,A4,B1,C5
980,A2,B3,C1
981,A2,B4,C5
982,A3,B3,C1
983,A5,B5,C1
984,A1,B2,C3
985,A2,B5,C3
986,A5,B3,C5
987,A4,B4,C2
988,A4,B4,C4
989,A1,B4,C5
990,A3,B2,C1
991,A1,B2,C1
992,A4,B1,C4
993,A2,B4,C2
994,A3,B4,C1
995,A5,B1,C5
996,A1,B4,C1
997,A4,B3,C1
998,A4,B3,C5
999,A1,B5,C1
1000,A5,B2,C1
1001,A1,B3,C4
1002,A5,B5,C2
1003,A1,B2,C2
1004,A3,B5,C5
1005,A5,B1,C5
1006,A2,B2,C5
1007,A2,B5,C4
1008,A1,B5,C5
1009,A2,B3,C2
1010,A1,B3,C4
1011,A4,B3,C2
1012,A4,B2,C2
1013,A3,B2,C2
1014,A2,B4,C2
1015,A4,B1,C3
1016,A1,B3,C2
1017,A3,B1,C1
1018,A5,B3,C2
1019,A5,B5,C4
1020,A4,B1,C4
1021,A2,B5,C1
1022,A3,B1,C5
1023,A2,B3,C2
1024,A1,B4,C4
1025,A2,B2,C2
1026,A4,B1,C5
1027,A1,B3,C2
1028,A3,B2,C4
1029,A3,B1,C4
1030,A4,B1,C3
1031,A1,B3,C2
1032,A1,B5,C5
1033,A2,B1,C5
1034,A4,B3,C2
1035,A4,B4,C1
1036,A1,B2,C4
1037,A3,B1,C2
1038,A4,B2,C2
1039,A5,B1,C4
1040,A3,B4,C3
1041,A4,B2,C1
1042,A2,B3,C4
1043,A3,B5,C4
1044,A2,B2,C3
1045,A1,B1,C3
1046,A3,B4,C1
1047,A4,B1,C5
1048,A5,B1,C3
1049,A2,B3,C2
1050,A3,B3,C5
1051,A2,B2,C5
1052,A4,B5,C2
1053,A5,B2,C5
1054,A3,B5,C4
1055,A1,B2,C2
1056,A4,B4,C2
1057,A2,B5,C1
1058,A5,B3,C4
1059,A2,B2,C5
1060,A5,B4,C2
1061,A5,B1,C5
1062,A1,B2,C1
1063,A1,B3,C3
1064,A1,B4,C2
1065,A3,B2,C4
1066,A1,B3,C5
1067,A3,B1,C2
1068,A4,B3,C5
1069,A4,B1,C5
1070,A1,B5,C5
1071,A4,B4,C5
1072,A3,B1,C4
1073,A3,B3,C5
1074,A1,B3,C1
1075,A2,B5,C5
1076,A5,B4,C5
1077,A2,B1,C1
1078,A3,B2,C4
1079,A4,B3,C5
1080,A3,B4,C4
1081,A3,B5,C1
1082,A5,B4,C5
1083,A3,B3,C3
1084,A4,B1,C5
1085,A4,B4,C2
1086,A2,B5,C3
1087,A4,B1,C3
1088,A5,B4,C4
1089,A3,B4,C5
1090,A4,B3,C3
1091,A5,B2,C3
1092,A4,B3,C1
1093,A4,B5,C5
1094,A3,B4,C1
1095,A2,B3,C3
1096,A2,B5,C4
1097,A3,B1,C5
1098,A5,B3,C1
1099,A4,B2,C5
1100,A1,B4,C4
1101,A3,B1,C3
1102,A1,B4,C3
1103,A4,B1,C4
1104,A2,B3,C2
1105,A2,B5,C3
1106,A1,B5,C1
1107,A5,B1,C5
1108,A5,B1,C2
1109,A3,B4,C5
1110,A1,B3,C4
1111,A5,B2,C1
1112,A1,B1,C4
1113,A4,B3,C3
1114,A5,B5,C4
1115,A4,B3,C2
1116,A3,B1,C3
1117,A1,B4,C3
1118,A5,B1,C2
1119,A5,B4,C2
1120,A1,B5,C1
1121,A1,B1,C2
1122,A2,B2,C3
1123,A5,B1,C2
1124,A4,B1,C4
1125,A3,B5,C3
1126,A5,B2,C3
1127,A2,B4,C2
1128,A1,B1,C1
1129,A5,B3,C5
1130,A4,B3,C5
1131,A5,B3,C2
1132,A1,B5,C4
1133,A4,B5,C1
1134,A5,B2,C3
1135,A2,B5,C3
1136,A4,B4,C1
1137,A5,B5,C5
1138,A1,B5,C3
1139,A2,B3,C4
1140,A2,B2,C3
1141,A4,B3,C4
1142,A3,B3,C3
1143,A4,B2,C1
1144,A2,B3,C3
1145,A4,B2,C1
1146,A1,B4,C5
1147,A4,B2,C1
1148,A3,B3,C5
1149,A4,B3,C3
1150,A5,B3,C4
1151,A1,B4,C2
1152,A3,B2,C5
1153,A3,B3,C2
1154,A5,B2,C2
1155,A5,B3,C1
1156,A1,B5,C3
1157,A3,B3,C5
1158,A2,B5,C4
1159,A3,B1,C3
1160,A5,B4,C2
1161,A1,B5,C1
1162,A3,B1,C1
1163,A5,B2,C1
1164,A5,B5,C2
1165,A4,B3,C4
1166,A3,B2,C5
1167,A4,B3,C3
1168,A3,B2,C4
1169,A5,B4,C1
1170,A2,B2,C3
1171,A5,B5,C1
1172,A4,B4,C5
1173,A2,B4,C4
1174,A2,B4,C2
1175,A2,B3,C4
1176,A2,B5,C3
1177,A5,B2,C5
1178,A2,B2,C1
1179,A4,B1,C5
1180,A4,B4,C3
1181,A5,B1,C5
1182,A4,B2,C2
1183,A4,B5,C5
1184,A1,B2,C2
1185,A5,B4,C5
1186,A2,B1,C1
1187,A3,B5,C5
1188,A3,B2,C4
1189,A5,B3,C3
1190,A5,B5,C4
1191,A3,B5,C2
1192,A2,B2,C4
1193,A5,B5,C5
1194,A1,B1,C4
1195,A4,B2,C2
1196,A4,B4,C2
1197,A2,B2,C4
1198,A2,B1,C1
1199,A5,B1,C1
1200,A2,B1,C3
1201,A2,B2,C3
1202,A2,B3,C5
1203,A4,B3,C2
1204,A4,B4,C4
1205,A5,B3,C2
1206,A1,B2,C4
1207,A3,B1,C3
1208,A5,B5,C5
1209,A5,B5,C2
1210,A4,B3,C1
1211,A1,B3,C4
1212,A1,B4,C3
1213,A2,B5,C5
1214,A3,B5,C1
1215,A3,B3,C3
1216,A4,B5,C1
1217,A4,B1,C1
1218,A1,B5,C1
1219,A2,B1,C4
1220,A1,B5,C4
1221,A3,B2,C1
1222,A4,B4,C5
1223,A1,B4,C4
1224,A3,B4,C4
1225,A5,B3,C4
1226,A1,B2,C4
1227,A5,B5,C5
1228,A1,B3,C1
1229,A1,B3,C4
1230,A4,B5,C3
1231,A3,B4,C1
1232,A3,B4,C4
1233,A2,B1,C1
1234,A5,B2,C3
1235,A4,B3,C5
1236,A5,B1,C4
1237,A3,B4,C5
1238,A1,B5,C5
1239,A4,B3,C4
1240,A5,B2,C4
1241,A3,B2,C4
1242,A4,B2,C4
1243,A2,B2,C5
1244,A4,B1,C5
1245,A5,B1,C2
